id	title	genres	original_language	overview	popularity	production_companies	release_date	budget	revenue	runtime	status	tagline	vote_average	vote_count	credits	keywords	poster_path	backdrop_path	recommendations
823464	Godzilla x Kong: The New Empire	Science Fiction-Action-Adventure	en	Following their explosive showdown Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world challenging their very existence – and our own.	10484.676	Legendary Pictures-Warner Bros. Pictures	2024-03-27	150000000.0	558503759.0	115.0	Released	Rise together or fall alone.	7.246	1878.0	Rebecca Hall-Brian Tyree Henry-Dan Stevens-Kaylee Hottle-Alex Ferns-Fala Chen-Rachel House-Ron Smyck-Chantelle Jamieson-Greg Hatton-Kevin Copeland-Tess Dobre-Tim Carroll-Anthony Brandon Wong-Sophia Emberson-Bain-Chika Ikogwe-Vincent B. Gorce-Yeye Zhou-Jamaliah Othman-Nick Lawler-Jordy Campbell-Cassie Riley-Robert Clavero-Patrick Moroney	giant monster-sequel-dinosaur-kaiju-fantasy world-giant ape-godzilla-king kong-mongkey	/v4uvGFAkKuYfyKLGZnYj6l47ERQ.jpg	/j3Z3XktmWB1VhsS8iXNcrR86PXi.jpg	1011985-1275232-359410-601796-967847-653346-693134-1096197-929590-934632-560016-940721-634492-1094844-60589-1125311-856289-437342-845783-763215
693134	Dune: Part Two	Science Fiction-Adventure	en	Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.	4742.163	Legendary Pictures	2024-02-27	190000000.0	683813734.0	167.0	Released	Long live the fighters.	8.3	2770.0	Timothée Chalamet-Zendaya-Rebecca Ferguson-Javier Bardem-Josh Brolin-Austin Butler-Florence Pugh-Dave Bautista-Christopher Walken-Léa Seydoux-Stellan Skarsgård-Charlotte Rampling-Souheila Yacoub-Roger Yuan-Babs Olusanmokun-Alison Halstead-Giusi Merli-Kait Tenison-Tara Breathnach-Akiko Hitomi-Imola Gáspár-Alison Adnet-Hamza Baissa-Hassan Najib-Jasper Ryan-Carter-Elbooz Omar Ahmed Fathie-Abdelkarim Hussein Seli Mohamed Hassanin-Joseph Beddelem-Xavier Alba Royo-Rachid Abbad-Affif Ben Badra-Botond Bóta-Abdelaziz Boumane-Abdellah Echahbi-Zouhair Elakkari-Noureddine Hajoujou-Mohamed Mouraoui-Adil Achraf Sayd-Hamza Sayd-Hopi Grace-Havin Fathi-Kincsö Pethö-Cat Simmons-Burt Caesar-Remi Fadare-Amer El-Erwadi-Tedroy Newell-Oxa Hazel-Hajiyeva Pakiza-Leon Herbert-Sima Rostami-Yvonne Campbell-Joseph Charles-Vic Zander-Dylan Baldwin-Marcia Tucker-Nicola Brome-Kathy Owen-Huw Novelli-Moe Bar-El-Serhat Metin-Amra Mallassi-Adam Bloom-Luis Alkmim-Jordan Long-Omar A.K.-Zdeněk Dvořáček-Billy Clements-Anton Saunders-Lex Daniel-Dominic McHale-Paul Boyle-Niall White-Tony Cook-Gábor Szemán-Jonathan Gunning-Will Irvine-Alan Mehdizadeh-Rex Adams-Molly Mcowan-Ana Cilas-Kajsa Mohammar-Sára Bácsfalvi-Kocsis Zsofia-Matthew Sim-Steve Wall-Italo Amerighi-Tim Hilborne-Cecile Sinclair-Tracy Coogan-Zoe Kata Kaska-Jimmy Walker-Rand Faris-Fouad Humaidan-Manaf Irani-Dora Kápolnai-Schvab-Joelle-Anya Taylor-Joy-Peter Sztojanov Jr.-Alexandra Tóth	epic-based on novel or book-fight-sandstorm-sand-spice-chosen one-sequel-distant future-creature-planet-desert-destiny-giant worm-space opera-sand dune-messiah-vengeance-giant creature-power-violence-dune part two	/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg	/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg	438631-763215-792307-1011985-467244-634492-359410-915935-1022690-823464-1056360-994108-636706-967847-998022-957304-935271-697620-760774-932420
653346	Kingdom of the Planet of the Apes	Science Fiction-Adventure-Action	en	Several generations in the future following Caesar's reign apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.	2372.67	20th Century Studios-Oddball Entertainment-Jason T. Reed Productions	2024-05-08	160000000.0	129000000.0	145.0	Released	No one can stop the reign.	7.311	326.0	Owen Teague-Freya Allan-Kevin Durand-Peter Macon-William H. Macy-Eka Darville-Travis Jeffery-Neil Sandilands-Sara Wiseman-Ras-Samuel Welda'abzgi-Lydia Peckham-Dichen Lachman-Nina Gallas-Karin Konoval-Samuel Falé-Olga Miller-Dmitriy Miller-Frances Berry-Zay Domo Artist-Andy McPhee	empire-kingdom-gorilla-dystopia-eagle-sequel-anthropomorphism-distant future-ape-orangutan-evolution-chimpanzee-primate-curious-holy roman empire-cgi-live action hybrid-clan-post-apocalyptic-evil tyrant-dramatic-intense-cgi	/gKkl37BQuKTanygYQG1pyYgLVgf.jpg	/fypydCipcWDKDTTCoPucBsdGYXW.jpg	1219685-967847-940721-823464-1051896-1093995-860867-1100474-964890-1001403-1148368-72259-1148817-639720-1286214-29151-100656-799583-9648-1077738
933131	Badland Hunters	Action-Science Fiction-Drama	ko	After a deadly earthquake turns Seoul into a lawless badland a fearless huntsman springs into action to rescue a teenager abducted by a mad doctor.	1704.65	Climax Studios-Nova Film-Big Punch Pictures-Lotte Entertainment	2024-01-26	0.0	0.0	109.0	Released	One last hunt to save us all.	6.953	160.0	Ma Dong-seok-Lee Hee-jun-Lee Jun-young-Roh Jeong-eui-Ahn Ji-hye-Park Ji-hoon-Jang Young-nam-Park Hyo-joon-Seong Byeong-suk-Jung Young-ju-Lee Han-joo-Kim Young-sun	post-apocalyptic future-earthquake-badlands-based on webcomic or webtoon-seoul south korea	/zVMyvNowgbsBAL6O6esWfRpAcOb.jpg	/pWsD91G2R1Da3AKM3ymr3UoIfRb.jpg	572802-940551-955916-872585-848326-615777-961268-906126-466420-41471-852445-930564-844416-927107-329865-944401-1212073-1155089-492002-698948-1060090
763215	Damsel	Fantasy-Action-Adventure	en	A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.	1486.614	PCMA Productions-Roth-Kirschenbaum Films	2024-03-07	60000000.0	5000.0	110.0	Released	This is not a fairytale.	7.173	1295.0	Millie Bobby Brown-Ray Winstone-Angela Bassett-Brooke Carter-Nick Robinson-Robin Wright-Milo Twomey-Nicole Joseph-Patrice Naiambana-Ulli Ackermann-Mens-Sana Tamakloe-Ezra Faroque Khan-Tasha Lim-Brogan McFarlane-Sonya Nisa-Esther Odumade-Margarita Ren-Eloise Shephard Taylor-Sofia Shallai-Matt Slack-Manon Stieglitz-Antonio Craveiro-Shohreh Aghdashloo-Sam Sharma	princess-fire-chase-kingdom-sword-mountain-revenge-knight-dragon-hero's journey-derisive-hopeful-fairytale	/AgHbB9DCE9aE57zkHjSmseszh6e.jpg	/deLWkOLZmBNkm8p16igfapQyqeq.jpg	138038-829280-293660-177572-135397-18239-8587-10681-557-315635-140607-297802-335797-82690-284053-38757-1930-454983-68735-809-24428
967847	Ghostbusters: Frozen Empire	Fantasy-Adventure-Comedy	en	The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.	478.162	Ghost Corps-Columbia Pictures	2024-03-20	100000000.0	108500000.0	115.0	Released	It'll send a chill down your spine.	6.7	139.0	Mckenna Grace-Paul Rudd-Carrie Coon-Finn Wolfhard-Dan Aykroyd-Kumail Nanjiani-Patton Oswalt-Celeste O'Connor-Logan Kim-Emily Alyn Lind-James Acaster-Bill Murray-Ernie Hudson-Annie Potts-William Atherton-Shelley Williams-Chris Tummings-John Rothman-Stephen Whitfield-Samuel Greco-Chris Ginesi-Brandon Burke-Karack Osborn-Kevin Mangold-Ian Whyte-Natalie Cousteau-Allison McKay-Adam Speers-Claire Titelman-Kalisha Amaris Johnson-Evelyn Edwards-Andrew Goddard-Deeivya Meir-Sophia Lucia Parola-Megan Robinson-Evelyn Anne Bulls-Camari Brown-Claudia Nell McCoy-Damian Muziani-Remy Germinario-Michael Kushner-Deisy Patiño-Victoria Giler-Cassidy Goron-Georgia Arron-Jesse Gallegos-Jonathan Mercedes-Vinnie Coppola-A.J. Voliton-Adam Murray-Pat Kiernan-Shelby Young-Ryan Bartley	new york city-supernatural-ghostbuster-sequel-teenage girl-ghost-duringcreditsstinger-research laboratory-evil force-ancient artifact	/r65fWcFELCSeyyrkq5wY09EPSGN.jpg	/3JhQQFidqbrD9k9DxGFCba46EFk.jpg	
746036	The Fall Guy	Action-Comedy	en	Fresh off an almost career-ending accident stuntman Colt Seavers has to track down a missing movie star solve a conspiracy and try to win back the love of his life while still doing his day job.	465.737	87North Productions-Entertainment 360-Universal Pictures	2024-04-24	125000000.0	127744920.0	126.0	Released	Fall hard.	7.421	514.0	Ryan Gosling-Emily Blunt-Aaron Taylor-Johnson-Hannah Waddingham-Teresa Palmer-Stephanie Hsu-Winston Duke-Ben Knight-Matuse Paz-Adam Dunn-Zara Michales-Ioane Sa'ula-Gregory J. Fryer-Madeleine Wilson-Kalkidan China-Angela Nica Sullen-Di Smith-Megan O'Connell-Jack Doherty-Tony Lynch-Georgia Nottage-David Collins-Semu Filipo-Andrew Owen-Dan Reardon-Marky Lee Campbell-Chris Matheson-Nathan Langworthy-Tim Franklin-Scott Johnson-Beth Champion-Emily Havea-Lawrence Ola-Cassandra Sorrell-Ben Gerrard-Diego Retamales-Simon McLachlan-Alex Lee-Andy Ryan-Lee Majors-Heather Thomas-Jason Momoa-Daniel Nelson-Charlotte Wood-Madeleine Jones-Theodore Avery-Nova Onas-Nathan Bates-Shakriya Tarinyawat-Luisa Mariano-Tahlia Crinis-Martin Cohen-Georgia Willett-Robert McFarlane-Yoji Tatsuta	stuntman-missing person-duringcreditsstinger-movie industry-action comedy-playful-based on tv series-witty-cheerful	/tSz1qsmSJon0rqjHBxXZmrotuse.jpg	/H5HjE7Xb9N09rbWn1zBfxgI8uz.jpg	653346-1152014-843527-882059-1040496-937287-844185-998846-1111873-929590-1143319-799583-1032425-1231035-1116490-10279-949808-14577-1178069-989238
614933	Atlas	Science Fiction-Action	en	A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.	418.513	Safehouse Pictures-ASAP Entertainment-Nuyorican Productions-Berlanti Productions	2024-05-23	0.0	0.0	120.0	Released	The future of humanity is in her hands.	6.672	291.0	Jennifer Lopez-Simu Liu-Sterling K. Brown-Gregory James Cohan-Abraham Popoola-Lana Parrilla-Mark Strong-Briella Guiza-Adia Smith-Eriksson-Logan Hunt-Jared Shimabukuro-Ashley J. Hicks-Paul Ganus-Zoe Boyle-Howland Wilson-Justin Walker White-Michelangelo Hyeon-Gloria Cole-Vaughn Johseph-Supreet Bedi-Lorraine Tai-Greg Mckenzie-Harj Dhillon-James Millard-Omar Khan-Lesley Fera-Tom Knight-Jessica Holmes-Samantha Hanratty	mission-artificial intelligence (a.i.)-exploration-attack-soldier-battle-military	/bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg	/3TNSoa0UHGEzEz5ndXGjJVKo8RJ.jpg	872585-545611-438631-761053-1371-467244-466420-2667-646380-670-749004-157336-11368-11220-322740-740985-1359-313369-641-923939
848538	Argylle	Comedy-Action-Crime	en	When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden a cat-allergic spy Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.	397.608	Marv-Apple Studios-Cloudy Productions	2024-01-31	200000000.0	0.0	139.0	Released	The greater the spy, the bigger the lie.	6.566	106.0	Bryce Dallas Howard-Sam Rockwell-Bryan Cranston-Catherine O'Hara-Henry Cavill-Dua Lipa-Ariana DeBose-Samuel L. Jackson-John Cena-Chip-Sofia Boutella-Richard E. Grant-Stanley Morgan-Daniel Singh-Jason Fuchs-Tomás Paredes-Bobby Holland Hanton-Greg Townley-Alaa Habib-Clementine Vaughn-Raagni Sharma-Jing Lusi-Kandy Rohmann-Fiona Marr-Diljohn Singh-Emmett Scanlan-Joyce Kaminski-Mark Bernard-Tomiwa Edun-Rob Delaney-Annabella King-Liam Lau Fernandez-Andrew Barrett-Ali Ariaie-Abe Jarman-Sam Vincenti-David Bedella-Anthony Kaye-Amra Mallassi-Louis Partridge-Ben Daniels	cat-spy-secret agent-writer's block-author-novelist-secrets	/siduVKgOnABO4WH4lOwPQwaGwJp.jpg	/8te0oIAuUOxi03RbM1SfL3xUYHB.jpg	866398-792307-850165-1010928-892535-1151156-346698-872585-414906-361743-980489-976573-575264-496243-569094-453395-661374-497698-785084-76600-526896
719221	Tarot	Horror-Thriller	en	When a group of friends recklessly violates the sacred rule of Tarot readings they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one they come face to face with fate and end up in a race against death.	360.618	Screen Gems-Alloy Entertainment-Ground Control Entertainment-Capstone Pictures	2024-05-01	8250000.0	20215419.0	92.0	Released	Your fate is in the cards.	4.8	32.0	Harriet Slater-Adain Bradley-Avantika-Jacob Batalon-Alana Boden-Humberly Gonzalez-Wolfgang Novogratz-Larsen Thompson-Olwen Fouéré-Sunčica Milanović-Alan Wells-Joss Carter-James Swanton-Staša Nikolić-Anna Halberg	tarot cards-slasher-group of friends-tarot-supernatural horror	/gAEUXC37vl1SnM7PXsHTF23I2vq.jpg	/otfoeC96neoOdA4HqsX06OWuzE9.jpg	1117321-1019939-400309-1008042-634649-475557-299534-181808-438631-568124-324786-76600-392044-324552-512200-118340-22538-19995-381288-502356
